timestamp,value
2025-07-07,209.7119903564453
2025-07-08,209.7719268798828
2025-07-09,210.90065002441406
2025-07-10,212.16920471191406
2025-07-11,210.92062377929688
2025-07-14,208.3834991455078
2025-07-15,208.87295532226562
2025-07-16,209.92176818847656
2025-07-17,209.78192138671875
2025-07-18,210.9405975341797
2025-07-21,212.23912048339844
2025-07-22,214.15695190429688
2025-07-23,213.9072265625
2025-07-24,213.51766967773438
2025-07-25,213.63754272460938
2025-07-28,213.80735778808594
2025-07-29,211.03050231933594
2025-07-30,208.81301879882812
2025-07-31,207.33470153808594
2025-08-01,202.1505889892578
2025-08-04,203.11949157714844
2025-08-05,202.68995666503906
2025-08-06,213.0082550048828
2025-08-07,219.7805633544922
2025-08-08,229.0900115966797
2025-08-11,227.17999267578125
2025-08-12,229.64999389648438
2025-08-13,233.3300018310547
2025-08-14,232.77999877929688
2025-08-15,231.58999633789062
2025-08-18,230.88999938964844
2025-08-19,230.55999755859375
2025-08-20,226.00999450683594
2025-08-21,224.89999389648438
2025-08-22,227.75999450683594
2025-08-25,227.16000366210938
2025-08-26,229.30999755859375
2025-08-27,230.49000549316406
2025-08-28,232.55999755859375
2025-08-29,232.13999938964844
2025-09-02,229.72000122070312
2025-09-03,238.47000122070312
2025-09-04,239.77999877929688
2025-09-05,239.69000244140625
2025-09-08,237.8800048828125
2025-09-09,234.35000610351562
2025-09-10,226.7899932861328
2025-09-11,230.02999877929688
2025-09-12,234.07000732421875
2025-09-15,236.6999969482422
2025-09-16,238.14999389648438
2025-09-17,238.99000549316406
2025-09-18,237.8800048828125
2025-09-19,245.5
2025-09-22,256.0799865722656
2025-09-23,254.42999267578125
2025-09-24,252.30999755859375
2025-09-25,256.8699951171875
2025-09-26,255.4600067138672
2025-09-29,254.42999267578125
